Workouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reps/Weight,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W,R,W
Dates,2022-01-15,,2022-01-20,,2022-01-24,,2022-01-27,,2022-03-01,,2022-03-06,,2022-03-15,,2022-03-19,,2022-03-24,,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Thrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,17,70,20,20,15,20,12,20,15,60,15,50,15,70,15,70,18,70,5,70,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,15,70,15,20,15,60,12,50,16,60,15,50,15,70,12,70,15,80,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,15,70,20,20,15,60,12,50,15,60,18,70,15,70,18,70,12,80,15,50,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 4,,,,,,,,,,,,,15,70,18,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat Pulldowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,12,10,13,40,15,40,12,40,12,40,15,40,10,55,,,12,55,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,12,40,20,40,15,40,12,40,10,40,10,55,7,55,,,8,55,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,12,40,15,40,20,40,12,40,10,40,7,55,7,55,,,8,55,8,55,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 4,,,,,,,,,,,,,,,,,8,55,8,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Reverse Lunges ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,12,10,12,10,12,10,15,10,12,10,6,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,12,10,12,10,12,10,15,10,12,10,6,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,12,10,12,10,12,10,15,10,12,10,12,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flat Dumbbell Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,12,10,12,20,20,20,15,20,12,10,10,20,,,,,12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,12,10,12,20,20,20,20,20,,,10,20,,,,,12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,12,10,12,20,20,20,20,20,,,10,20,,,,,12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Ball Leg Curls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,12,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,6,,12,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,12,,12,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Lying Clam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 1,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 2,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 3,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET 4,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
